ds,y
V2,2793.7
V3,2793.8
V4,2803.7
V5,2805.8
V6,2802.3
V7,2795.0
V8,2806.4
V9,2782.2
V10,2780.3
V11,2781.4
V12,2768.4
V13,2779.0
V14,2774.9
V15,2770.0
V16,2780.0
V17,2752.3
V18,2749.9
V19,2748.4
V20,2744.3
V21,2757.3
V22,2754.8
V23,2752.5
V24,2743.8
V25,2763.7
V26,2756.6
V27,2756.3
V28,2767.7
V29,2771.7
V30,2774.9
V31,2770.2
V32,2768.4
V33,2759.2
V34,2760.3
V35,2746.0
V36,2738.5
V37,2713.6
V38,2705.1
V39,2701.8
V40,2706.7
V41,2703.0
V42,2698.9
V43,2685.6
V44,2690.6
V45,2689.8
V46,2687.7
V47,2673.1
V48,2606.5
V49,2611.4
V50,2571.7
V51,2611.4
V52,2618.7
V53,2619.0
V54,2624.4
V55,2626.0
V56,2602.9
V57,2595.9
V58,2613.4
V59,2608.1
V60,2630.3
V61,2610.9
V62,2618.8
V63,2629.2
V64,2612.0
V65,2580.3
V66,2581.7
V67,2586.7
V68,2580.6
V69,2580.0
V70,2574.2
V71,2575.4
V72,2582.6
V73,2607.0
V74,2624.6
V75,2615.8
V76,2611.2
V77,2599.1
V78,2566.3
V79,2552.1
V80,2578.1
V81,2595.0
V82,2562.2
V83,2573.9
V84,2582.1
V85,2574.2
V86,2583.5
V87,2592.4
V88,2575.1
V89,2578.8
V90,2578.3
V91,2574.7
V92,2584.5
V93,2612.9
V94,2670.5
V95,2667.6
V96,2668.6
V97,2655.0
V98,2662.4
V99,2662.8
V100,2668.4
V101,2659.0
V102,2667.5
V103,2650.0
V104,2594.4
V105,2594.7
V106,2595.8
V107,2594.7
V108,2650.1
V109,2621.6
V110,2622.5
V111,2631.9
V112,2625.0
V113,2634.5
V114,2617.2
V115,2616.3
V116,2607.7
V117,2624.3
V118,2620.2
V119,2619.9
V120,2609.6
V121,2604.3
V122,2601.7
V123,2591.1
V124,2604.2
V125,2597.7
V126,2598.5
V127,2600.9
V128,2612.2
V129,2595.8
V130,2589.5
V131,2589.5
V132,2598.1
V133,2608.6
V134,2615.4
V135,2619.7
V136,2623.7
V137,2600.9
V138,2609.5
V139,2605.0
V140,2594.6
V141,2586.3
V142,2596.3
V143,2594.2
V144,2594.8
V145,2605.2
V146,2595.8
V147,2596.3
V148,2589.5
V149,2593.5
V150,2594.6
V151,2605.2
V152,2608.3
V153,2609.4
V154,2626.0
V155,2625.6
V156,2627.4
V157,2649.9
V158,2659.1
V159,2670.0
V160,2706.3
V161,2717.1
V162,2709.7
V163,2705.9
V164,2718.9
V165,2719.3
V166,2713.8
V167,2710.2
V168,2700.1
V169,2698.5
V170,2709.5
V171,2698.0
V172,2696.1
V173,2686.5
V174,2695.1
V175,2705.9
V176,2708.5
V177,2721.4
V178,2700.4
V179,2705.9
V180,2718.6
V181,2723.7
V182,2723.7
V183,2721.7
V184,2721.3
V185,2717.3
V186,2671.6
V187,2646.0
V188,2639.8
V189,2658.9
V190,2653.4
V191,2635.9
V192,2633.0
V193,2653.4
V194,2649.3
V195,2657.3
V196,2659.1
V197,2640.4
V198,2627.3
V199,2639.0
V200,2636.9
V201,2642.0
V202,2644.2
V203,2638.6
V204,2641.3
V205,2628.1
V206,2636.0
V207,2626.0
V208,2598.0
V209,2595.2
V210,2605.5
V211,2604.4
V212,2603.8
V213,2629.0
V214,2626.2
V215,2626.6
V216,2638.4
V217,2645.5
V218,2628.6
V219,2629.5
V220,2632.0
V221,2641.4
V222,2624.4
V223,2625.1
V224,2637.2
V225,2619.2
V226,2622.0
V227,2620.2
V228,2631.5
V229,2623.4
V230,2621.0
V231,2627.1
V232,2628.1
V233,2642.4
V234,2662.5
V235,2658.8
V236,2655.4
V237,2674.8
V238,2659.3
V239,2659.5
V240,2655.1
V241,2666.8
V242,2668.9
V243,2666.9
V244,2667.4
V245,2674.1
V246,2676.1
V247,2669.1
V248,2665.8
V249,2659.8
V250,2669.9
V251,2669.1
V252,2672.0
V253,2660.5
V254,2660.2
V255,2658.9
V256,2662.2
V257,2668.8
V258,2682.1
V259,2679.4
V260,2671.8
V261,2678.8
V262,2674.5
V263,2668.6
V264,2678.6
V265,2681.1
V266,2696.3
V267,2704.1
V268,2711.7
V269,2720.2
V270,2727.6
V271,2715.4
V272,2729.1
V273,2721.9
V274,2732.4
V275,2734.8
V276,2728.6
V277,2736.6
V278,2736.4
V279,2731.3
V280,2717.2
V281,2705.2
V282,2714.3
V283,2719.5
V284,2713.6
V285,2708.4
V286,2708.9
V287,2701.6
V288,2701.5
V289,2706.7
V290,2685.0
V291,2693.9
V292,2692.8
V293,2695.4
V294,2699.3
V295,2684.3
V296,2693.2
V297,2700.6
V298,2715.4
V299,2728.9
V300,2721.1
V301,2731.6
V302,2727.7
V303,2735.4
V304,2727.1
V305,2732.5
V306,2733.7
V307,2722.1
V308,2719.6
V309,2720.8
V310,2719.6
V311,2727.1
V312,2721.4
V313,2724.6
V314,2728.4
V315,2724.0
V316,2724.1
V317,2733.2
V318,2734.9
V319,2723.9
V320,2729.3
V321,2727.1
V322,2724.8
V323,2721.9
V324,2723.0
V325,2728.1
V326,2746.2
V327,2747.3
V328,2746.1
V329,2760.2
V330,2758.0
V331,2761.2
V332,2758.0
V333,2753.7
